anchor_idx,query_image,num_matches,num_inliers
40150,488294055921976,1784,1313
40100,488294055921976,1203,953
40150,494060038453033,1263,1080
40200,494060038453033,1028,910
40100,494060038453033,1214,888
39250,498635101554825,1431,1143
39200,498635101554825,1233,1081
39350,498635101554825,1177,955
40400,500262417832956,725,574
40300,500262417832956,783,501
40450,500262417832956,724,492
39300,503656994410870,618,451
39150,503656994410870,565,430
39250,503656994410870,614,428
40850,504474467404712,419,305
40800,504474467404712,401,304
40750,504474467404712,366,262
40250,505232827589496,1269,1070
40200,505232827589496,1216,945
40300,505232827589496,1160,928
40850,516232789557074,874,627
40800,516232789557074,783,608
40450,516232789557074,633,545
40850,517162169314766,937,774
40800,517162169314766,806,615
40900,517162169314766,780,614
39300,520354202466339,1382,1087
39400,520354202466339,1479,1069
39450,520354202466339,1197,1002
38600,521008155734204,554,316
38100,521008155734204,480,289
37550,521008155734204,507,272
40250,522708595754983,946,685
40500,522708595754983,725,628
40400,522708595754983,726,621
39350,523924315641818,627,418
39500,523924315641818,633,407
39250,523924315641818,587,406
40200,525587638606825,857,698
40150,525587638606825,849,674
40250,525587638606825,917,659
40650,527875755263689,1527,1473
40600,527875755263689,1509,1257
40550,527875755263689,1219,937
40850,567165644289649,537,452
40800,567165644289649,475,375
40700,567165644289649,427,369
40600,581387889500547,1833,1638
40550,581387889500547,1589,1503
40650,581387889500547,1264,1071
38500,581576559484203,1286,1164
38450,581576559484203,1393,1140
38400,581576559484203,1171,1078
40550,612515993051592,1780,1566
40600,612515993051592,1404,1246
40450,612515993051592,1245,1015
39900,618885832842047,1529,1260
39950,618885832842047,1546,1185
39850,618885832842047,1347,1149
38150,736782263685550,364,178
37650,736782263685550,307,156
37850,736782263685550,367,156
40150,752638762079654,1923,1514
40200,752638762079654,1390,1177
40100,752638762079654,1290,998
40850,752710185440008,896,715
40800,752710185440008,726,646
40900,752710185440008,740,587
39950,752749511990487,1504,1246
40000,752749511990487,1521,1164
40050,752749511990487,1216,1000
40850,755524828457070,1090,765
40800,755524828457070,833,699
40250,755524828457070,720,632
40850,756237591623326,620,378
40800,756237591623326,579,349
40900,756237591623326,478,349
40150,756502351714651,1548,1250
