anchor_idx,query_idx,num_matches,num_inliers
1000,6500,703,682
1000,6550,543,517
1000,6600,418,386
1000,6650,453,405
1000,6700,425,364
1000,6750,334,247
1000,6800,433,357
1000,6850,395,326
1000,6900,445,376
1000,6950,420,388
1000,7000,217,194
1000,7050,196,183
1000,7100,307,259
1000,7150,405,378
1050,6000,424,343
1050,6050,443,385
1050,6100,511,473
1050,6150,605,524
1050,6200,658,608
1050,6250,769,737
1050,6300,927,866
1050,6350,1296,1133
1050,6400,1762,1463
1050,6450,1163,1071
1050,6500,823,702
1050,6550,614,579
1050,6600,435,366
1050,6650,485,381
1050,6700,447,351
1050,6750,349,296
1050,6800,399,299
1050,6850,388,331
1050,6900,421,373
1050,6950,371,282
1050,7000,193,163
1050,7050,185,170
1050,7100,267,236
1050,7150,386,348
1100,6000,413,345
1100,6050,456,359
1100,6100,488,440
1100,6150,532,462
1100,6200,572,490
1100,6250,676,623
1100,6300,728,719
1100,6350,932,906
1100,6400,1258,1120
1100,6450,1760,1512
1100,6500,1082,962
1100,6550,774,742
1100,6600,527,510
1100,6650,518,413
1100,6700,481,438
1100,6750,370,289
1100,6800,424,383
1100,6850,381,319
1100,6900,455,398
1100,6950,426,349
1100,7000,239,220
1100,7050,236,220
1100,7100,341,273
1100,7150,432,353
1150,6000,366,302
1150,6050,389,340
1150,6100,450,406
1150,6150,487,397
1150,6200,526,454
1150,6250,578,481
1150,6300,598,478
1150,6350,718,663
1150,6400,910,804
1150,6450,1207,1123
1150,6500,1403,1215
1150,6550,1051,1011
1150,6600,692,653
1150,6650,604,581
1150,6700,514,438
1150,6750,392,307
1150,6800,425,380
1150,6850,419,352
1150,6900,449,365
1150,6950,444,365
1150,7000,240,210
1150,7050,259,219
1150,7100,353,316
1150,7150,433,395
1200,6000,421,350
1200,6050,422,337
1200,6100,481,368
1200,6150,523,430
1200,6200,518,483
1200,6250,588,566
1200,6300,568,529
1200,6350,664,564
1200,6400,747,706
1200,6450,839,811
1200,6500,1003,897
1200,6550,1305,1117
1200,6600,919,780
1200,6650,821,741
1200,6700,685,539
1200,6750,518,499
1200,6800,515,426
1200,6850,486,389
1200,6900,532,423
1200,6950,587,473
1200,7000,353,314
1200,7050,362,317
1200,7100,452,399
1200,7150,478,411
1250,6000,411,322
1250,6050,443,325
1250,6100,470,365
1250,6150,510,437
1250,6200,490,398
1250,6250,556,452
1250,6300,526,430
1250,6350,630,478
1250,6400,678,602
1250,6450,760,692
1250,6500,819,704
1250,6550,978,928
1250,6600,1248,1166
1250,6650,1066,1026
1250,6700,840,766
1250,6750,581,552
1250,6800,595,531
1250,6850,581,481
1250,6900,569,499
1250,6950,591,489
1250,7000,322,282
1250,7050,331,286
1250,7100,446,399
1250,7150,466,404
1300,6000,362,306
1300,6050,370,302
1300,6100,388,342
1300,6150,432,398
1300,6200,448,349
1300,6250,490,424
1300,6300,480,439
1300,6350,541,488
1300,6400,591,541
1300,6450,634,552
1300,6500,686,655
1300,6550,794,674
1300,6600,931,906
1300,6650,1547,1504
1300,6700,1109,1052
1300,6750,748,660
1300,6800,661,550
1300,6850,573,516
1300,6900,637,510
1300,6950,616,537
1300,7000,393,340
1300,7050,321,275
1300,7100,423,389
1300,7150,536,477
1350,6000,414,345
1350,6050,432,390
1350,6100,476,414
1350,6150,492,419
1350,6200,454,369
1350,6250,518,446
1350,6300,504,467
1350,6350,566,459
1350,6400,583,491
1350,6450,602,519
1350,6500,669,559
1350,6550,711,664
1350,6600,713,673
1350,6650,1039,970
1350,6700,1455,1435
1350,6750,990,896
1350,6800,828,731
1350,6850,639,538
1350,6900,703,607
1350,6950,686,591
1350,7000,378,326
1350,7050,339,310
1350,7100,489,412
1350,7150,582,529
1400,6000,361,287
1400,6050,368,314
1400,6100,411,354
1400,6150,449,365
1400,6200,423,371
1400,6250,486,409
1400,6300,477,362
1400,6350,502,451
1400,6400,515,378
1400,6450,504,406
1400,6500,532,415
1400,6550,568,475
1400,6600,581,520
1400,6650,826,805
1400,6700,1160,1023
1400,6750,1435,1397
1400,6800,980,875
1400,6850,829,809
1400,6900,770,685
1400,6950,660,549
1400,7000,388,292
1400,7050,344,281
1400,7100,489,439
1400,7150,573,487
1450,6000,318,234
1450,6050,319,251
1450,6100,355,267
1450,6150,356,278
1450,6200,366,289
1450,6250,388,307
1450,6300,389,307
1450,6350,430,313
1450,6400,437,364
1450,6450,422,390
1450,6500,431,348
1450,6550,457,359
1450,6600,485,384
1450,6650,653,574
1450,6700,802,736
1450,6750,1128,1113
1450,6800,1517,1453
1450,6850,1074,1023
1450,6900,892,764
1450,6950,669,522
1450,7000,478,347
1450,7050,402,225
1450,7100,456,362
1450,7150,601,481
1500,6000,306,240
1500,6050,285,228
1500,6100,311,256
1500,6150,305,225
1500,6200,357,307
1500,6250,362,309
1500,6300,396,350
1500,6350,414,380
1500,6400,434,378
1500,6450,477,405
1500,6500,458,365
1500,6550,466,407
1500,6600,415,384
1500,6650,588,508
1500,6700,718,636
1500,6750,849,768
1500,6800,1253,1203
1500,6850,1739,1674
1500,6900,1103,963
1500,6950,722,683
1500,7000,444,382
1500,7050,380,348
1500,7100,478,418
1500,7150,574,523
1550,6000,327,254
1550,6050,333,275
1550,6100,368,282
1550,6150,358,288
1550,6200,368,302
1550,6250,406,354
1550,6300,378,317
1550,6350,462,400
1550,6400,453,391
1550,6450,482,429
1550,6500,434,373
1550,6550,410,348
1550,6600,385,336
1550,6650,524,487
1550,6700,599,527
1550,6750,664,566
1550,6800,863,797
1550,6850,1113,995
1550,6900,1764,1587
1550,6950,1079,1014
1550,7000,655,543
1550,7050,669,646
1550,7100,704,590
1550,7150,714,631
1600,6000,317,265
1600,6050,266,223
1600,6100,305,266
1600,6150,353,287
1600,6200,265,241
1600,6250,301,258
1600,6300,243,215
1600,6350,283,262
1600,6400,289,241
1600,6450,279,250
1600,6500,273,235
1600,6550,241,206
1600,6600,250,211
1600,6650,426,338
1600,6700,443,322
1600,6750,436,369
1600,6800,574,530
1600,6850,674,612
1600,6900,973,935
1600,6950,1717,1611
1600,7000,1174,1144
1600,7050,1101,1022
1600,7100,964,852
1600,7150,756,623
1650,6000,203,176
1650,6050,173,160
1650,6100,190,162
1650,6150,215,183
1650,6200,156,138
1650,6250,173,147
1650,6300,123,110
1650,6350,160,137
1650,6400,143,124
1650,6450,129,118
1650,6500,102,78
1650,6550,66,54
1650,6600,73,58
1650,6650,158,136
1650,6700,240,202
1650,6750,139,108
1650,6800,305,243
1650,6850,326,260
1650,6900,531,494
1650,6950,1019,969
1650,7000,1564,1388
1650,7050,1357,1304
1650,7100,962,894
1650,7150,622,491
1700,6000,284,258
1700,6050,209,178
1700,6100,231,217
1700,6150,301,282
1700,6200,199,175
1700,6250,227,184
1700,6300,147,142
1700,6350,227,211
1700,6400,199,172
1700,6450,201,183
1700,6500,126,112
1700,6550,112,100
1700,6600,90,75
1700,6650,170,149
1700,6700,204,186
1700,6750,201,151
1700,6800,351,275
1700,6850,283,238
1700,6900,541,501
1700,6950,952,894
1700,7000,1294,1122
1700,7050,1388,1344
1700,7100,1104,1047
1700,7150,753,577
1750,6000,269,208
1750,6050,240,202
1750,6100,277,230
1750,6150,281,223
1750,6200,229,199
1750,6250,269,244
1750,6300,208,185
1750,6350,251,221
1750,6400,227,210
1750,6450,239,196
1750,6500,230,209
1750,6550,183,166
1750,6600,216,179
1750,6650,261,223
1750,6700,333,286
1750,6750,338,303
1750,6800,375,292
1750,6850,407,342
1750,6900,586,496
1750,6950,875,817
1750,7000,948,878
1750,7050,1211,1161
1750,7100,1688,1601
1750,7150,1168,1095
1800,6000,254,236
1800,6050,236,196
1800,6100,260,230
1800,6150,292,266
1800,6200,257,242
1800,6250,263,226
1800,6300,236,221
1800,6350,262,241
1800,6400,259,245
1800,6450,252,227
1800,6500,246,220
1800,6550,202,185
1800,6600,227,205
1800,6650,281,235
1800,6700,339,294
1800,6750,320,290
1800,6800,364,311
1800,6850,414,351
1800,6900,596,550
1800,6950,794,699
1800,7000,796,644
1800,7050,989,808
1800,7100,1308,1161
1800,7150,1314,1202
1850,6000,274,245
1850,6050,214,188
1850,6100,235,219
1850,6150,277,238
1850,6200,211,190
1850,6250,240,206
1850,6300,210,185
1850,6350,243,224
1850,6400,246,222
1850,6450,215,194
1850,6500,202,190
1850,6550,178,154
1850,6600,185,161
1850,6650,270,225
1850,6700,325,275
1850,6750,286,246
1850,6800,350,298
1850,6850,422,344
1850,6900,552,447
1850,6950,789,696
1850,7000,901,750
1850,7050,979,950
1850,7100,1095,982
1850,7150,1012,932
1900,6000,121,99
1900,6050,132,36
1900,6100,79,65
1900,6150,98,89
1900,6200,79,34
1900,6250,149,35
1900,6300,73,25
1900,6350,27,14
1900,6400,20,12
1900,6450,57,23
1900,6500,10,7
1900,6550,37,15
1900,6600,23,11
1900,6650,24,17
1900,6700,23,15
1900,6750,40,17
1900,6800,14,8
1900,6850,77,27
1900,6900,65,21
1900,6950,329,283
1900,7000,542,485
1900,7050,607,483
1900,7100,488,392
1900,7150,184,112
1950,6000,146,38
1950,6050,159,49
1950,6100,168,49
1950,6150,127,34
1950,6200,182,56
1950,6250,120,37
1950,6300,66,17
1950,6350,83,22
1950,6400,60,18
1950,6450,132,30
1950,6500,49,19
1950,6550,84,31
1950,6600,30,16
1950,6650,56,17
1950,6700,61,21
1950,6750,38,14
1950,6800,73,19
1950,6850,34,17
1950,6900,32,15
1950,6950,56,17
1950,7000,217,197
1950,7050,218,184
1950,7100,93,39
1950,7150,158,39
0,20000,134,72
0,20050,66,32
0,20100,45,17
0,20150,81,25
0,20200,22,12
0,20250,29,15
0,20300,36,17
0,20350,48,22
0,20400,50,22
0,20450,4,0
0,20500,14,8
0,20550,18,12
0,20600,16,12
0,20650,10,7
0,20700,10,7
0,20750,2,0
0,20800,32,15
0,20850,20,13
0,20900,14,8
0,20950,22,12
0,21000,78,16
0,21050,15,9
0,21100,8,7
0,21150,120,31
0,21200,69,23
0,21250,40,16
50,20000,279,161
50,20050,121,46
50,20100,55,18
50,20150,84,26
50,20200,32,17
50,20250,27,15
50,20300,92,31
50,20350,68,33
50,20400,43,17
50,20450,31,16
50,20500,34,20
50,20550,53,33
50,20600,10,7
50,20650,9,7
50,20700,0,0
50,20750,4,0
50,20800,2,0
50,20850,17,10
50,20900,23,14
50,20950,18,10
50,21000,43,13
50,21050,28,13
50,21100,65,25
50,21150,84,23
50,21200,90,27
50,21250,23,11
100,20000,84,49
100,20050,226,79
100,20100,38,21
100,20150,40,16
100,20200,53,22
100,20250,60,22
100,20300,51,19
100,20350,44,20
100,20400,45,17
100,20450,46,22
100,20500,19,15
100,20550,34,20
100,20600,13,7
100,20650,0,0
100,20700,56,17
100,20750,66,23
100,20800,32,14
100,20850,25,16
100,20900,25,14
100,20950,28,14
100,21000,46,14
100,21050,8,7
100,21100,58,17
100,21150,29,14
100,21200,43,15
100,21250,1,0
150,20000,332,215
150,20050,163,59
150,20100,60,26
150,20150,122,38
150,20200,20,13
150,20250,36,22
150,20300,42,17
150,20350,52,22
150,20400,54,21
150,20450,23,14
150,20500,6,0
150,20550,12,7
150,20600,7,0
150,20650,8,7
150,20700,6,0
150,20750,7,0
150,20800,23,14
150,20850,28,16
150,20900,27,14
150,20950,54,24
150,21000,56,18
150,21050,13,7
150,21100,43,14
150,21150,77,27
150,21200,36,13
150,21250,37,14
200,20000,346,231
200,20050,237,116
200,20100,24,11
200,20150,100,25
200,20200,18,10
200,20250,7,0
200,20300,20,10
200,20350,33,20
200,20400,13,7
200,20450,21,13
200,20500,15,10
200,20550,15,10
200,20600,10,7
200,20650,5,0
200,20700,2,0
200,20750,1,0
200,20800,0,0
200,20850,18,12
200,20900,7,0
200,20950,15,10
200,21000,39,19
200,21050,152,56
200,21100,41,15
200,21150,80,25
200,21200,34,14
200,21250,21,11
250,20000,222,143
250,20050,172,61
250,20100,39,16
250,20150,120,32
250,20200,48,18
250,20250,102,28
250,20300,43,15
250,20350,88,44
250,20400,76,24
250,20450,45,20
250,20500,23,13
250,20550,21,13
250,20600,21,12
250,20650,25,16
250,20700,103,26
250,20750,81,32
250,20800,21,14
250,20850,5,0
250,20900,14,8
250,20950,28,13
250,21000,4,0
250,21050,1,0
250,21100,13,7
250,21150,31,15
250,21200,13,7
250,21250,7,0
300,20000,270,172
300,20050,169,94
300,20100,44,24
300,20150,74,22
300,20200,58,25
300,20250,42,17
300,20300,100,35
300,20350,75,35
300,20400,67,23
300,20450,38,16
300,20500,13,7
300,20550,13,7
300,20600,12,7
300,20650,21,14
300,20700,61,18
300,20750,58,21
300,20800,9,7
300,20850,2,0
300,20900,9,7
300,20950,20,12
300,21000,27,13
300,21050,41,16
300,21100,95,31
300,21150,28,12
300,21200,29,15
300,21250,8,7
350,20000,234,107
350,20050,161,50
350,20100,86,27
350,20150,36,16
350,20200,21,12
350,20250,63,27
350,20300,152,46
350,20350,112,30
