anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
0,10,1050,20400,1963,1890
0,10,1100,20400,1967,1781
0,10,1000,20400,1836,1679
4,10,8950,20400,936,776
4,10,9000,20400,847,773
4,10,8800,20400,930,772
0,10,1100,20450,1987,1961
0,10,1250,20450,1925,1541
0,10,1200,20450,1924,1536
4,10,8850,20450,1010,877
4,10,8950,20450,982,864
4,10,9050,20450,858,781
0,10,1150,20500,2008,1831
0,10,1200,20500,1940,1717
0,10,1300,20500,1936,1673
4,10,8850,20500,993,791
4,10,8950,20500,975,755
4,10,9000,20500,831,715
0,10,1350,20550,1935,1782
0,10,1300,20550,1966,1681
0,10,1250,20550,1947,1620
4,10,8950,20550,963,908
4,10,8800,20550,942,780
4,10,8850,20550,963,773
0,10,1300,20600,1999,1818
0,10,1250,20600,1979,1806
0,10,1200,20600,1943,1734
4,10,8950,20600,983,847
4,10,8800,20600,957,751
4,10,8850,20600,982,748
0,10,1300,20650,2004,1768
0,10,1250,20650,1850,1750
0,10,1400,20650,1870,1592
4,10,8850,20650,973,891
4,10,8950,20650,971,801
4,10,8800,20650,932,709
0,10,1400,20700,1836,1701
0,10,1350,20700,1742,1655
0,10,1300,20700,1804,1602
4,10,8850,20700,876,708
4,10,8800,20700,799,691
4,10,8950,20700,788,630
0,10,1350,20750,1798,1684
0,10,1500,20750,1836,1664
0,10,1400,20750,1879,1603
4,10,8800,20750,893,686
4,10,8850,20750,840,628
4,10,8950,20750,606,530
0,10,1500,20800,1656,1523
0,10,1450,20800,1695,1446
0,10,1400,20800,1483,1303
4,10,8800,20800,421,286
4,10,8850,20800,362,286
4,10,8750,20800,332,277
0,10,1500,20850,1822,1741
0,10,1450,20850,1641,1548
0,10,1550,20850,1549,1310
4,10,8800,20850,686,484
4,10,8750,20850,515,444
4,10,8950,20850,530,388
0,10,1550,20900,1635,1530
0,10,1500,20900,1836,1490
0,10,1450,20900,1112,1010
4,10,8800,20900,813,668
4,10,8850,20900,741,586
4,10,8950,20900,594,467
0,10,1550,20950,1774,1672
0,10,1600,20950,1347,1300
0,10,1750,20950,1406,1149
4,10,8950,20950,869,728
4,10,9000,20950,795,674
4,10,9050,20950,885,664
0,10,1600,21000,1691,1496
0,10,1650,21000,1729,1417
0,10,1750,21000,1622,1392
4,10,9100,21000,1393,1072
4,10,9150,21000,1190,1008
4,10,9050,21000,1324,940
0,10,1650,21050,1711,1562
0,10,1750,21050,1700,1332
0,10,1800,21050,1600,1303
4,10,9100,21050,1506,1226
4,10,9050,21050,1200,969
4,10,9250,21050,1121,933
0,10,1750,21100,1704,1642
0,10,1800,21100,1671,1527
0,10,1850,21100,1693,1300
4,10,9100,21100,1604,1254
4,10,9050,21100,1455,1147
4,10,9150,21100,1318,1031
0,10,1750,21150,1680,1510
0,10,1800,21150,1710,1490
0,10,1850,21150,1618,1352
4,10,9100,21150,1569,1240
4,10,9050,21150,1600,1187
4,10,9150,21150,1257,945
0,10,1850,21200,1707,1700
0,10,1800,21200,1770,1592
0,10,1750,21200,1260,1205
4,10,9050,21200,1729,1279
4,10,9100,21200,1658,1216
4,10,9000,21200,1243,1023
0,10,1850,21250,1548,1510
0,10,1800,21250,1131,1104
0,10,1750,21250,903,791
4,10,9050,21250,1693,1457
4,10,9100,21250,1693,1362
4,10,9150,21250,1412,1148
0,10,1900,21300,1132,1127
0,10,1850,21300,1113,1036
0,10,1800,21300,928,859
4,10,9100,21300,1867,1690
4,10,9050,21300,1756,1507
4,10,9150,21300,1764,1332
0,10,1850,21350,1257,1076
0,10,1800,21350,960,886
0,10,1750,21350,920,819
4,10,9050,21350,1987,1814
4,10,9100,21350,1919,1590
4,10,9150,21350,1596,1342
0,10,1850,21400,1007,845
0,10,1800,21400,906,814
0,10,1750,21400,831,743
4,10,9050,21400,1949,1863
4,10,9000,21400,1875,1726
4,10,9100,21400,1753,1550
0,10,1800,21450,871,792
0,10,1850,21450,919,757
0,10,1750,21450,779,651
4,10,9050,21450,1673,1583
4,10,9000,21450,1810,1580
4,10,9100,21450,1454,1379
0,10,1800,21500,769,663
0,10,1850,21500,777,640
0,10,1750,21500,668,590
4,10,8900,21500,1453,1421
4,10,9000,21500,1534,1385
4,10,8950,21500,1369,1289
0,10,1850,21550,621,532
0,10,1800,21550,607,527
0,10,1750,21550,551,509
4,10,8900,21550,1557,1425
4,10,8950,21550,1329,1267
4,10,8850,21550,1357,1261
0,10,1800,21600,500,460
0,10,1850,21600,494,454
0,10,1750,21600,447,387
4,10,8850,21600,1267,1243
4,10,8900,21600,1261,1229
4,10,8800,21600,1169,1004
0,10,1800,21650,388,342
0,10,1850,21650,399,332
0,10,1750,21650,326,256
4,10,8800,21650,1273,1252
4,10,8850,21650,1189,1026
4,10,8900,21650,1030,913
0,10,1550,21700,172,101
0,10,1800,21700,147,96
0,10,1300,21700,137,84
4,10,8800,21700,1057,954
4,10,8750,21700,1069,946
4,10,8700,21700,969,887
0,10,1550,21750,127,98
0,10,1850,21750,139,86
0,10,1250,21750,76,71
4,10,8700,21750,1067,1044
4,10,8650,21750,1002,943
4,10,8750,21750,1076,927
0,10,1850,21800,124,78
0,10,1800,21800,110,64
0,10,1750,21800,88,55
4,10,9500,21800,1342,896
4,10,8500,21800,921,881
4,10,8400,21800,1092,869
0,10,1850,21850,126,79
0,10,1800,21850,98,66
0,10,1750,21850,95,59
4,10,8400,21850,1072,962
4,10,8650,21850,917,901
4,10,8500,21850,888,861
0,10,1850,21900,132,72
0,10,1800,21900,87,45
0,10,1750,21900,67,42
4,10,8400,21900,1099,1038
4,10,8350,21900,1079,921
4,10,8300,21900,960,864
0,10,1850,21950,116,62
0,10,1750,21950,123,60
0,10,1800,21950,125,52
4,10,8350,21950,1171,1049
4,10,8250,21950,1163,1025
4,10,8400,21950,1081,1003
4,11,8300,22000,1279,1206
4,11,8200,22000,1158,1126
4,11,8250,22000,1327,1117
4,11,9950,22050,1294,1218
4,11,8250,22050,1325,1189
4,11,8200,22050,1215,1058
4,11,8250,22100,1591,1517
4,11,8200,22100,1605,1501
4,11,9950,22100,1509,1499
4,11,9950,22150,1737,1582
4,11,8200,22150,1677,1575
4,11,9900,22150,1621,1422
4,11,9900,22200,1893,1719
4,11,9950,22200,1602,1541
4,11,9850,22200,1649,1511
4,11,9850,22250,1987,1779
4,11,9900,22250,1688,1662
4,11,9800,22250,1744,1596
4,11,9800,22300,2013,1870
4,11,9750,22300,1652,1586
4,11,9850,22300,1785,1577
4,11,9800,22350,1750,1685
4,11,9750,22350,1756,1668
4,11,8000,22350,1437,1353
4,11,9750,22400,1692,1388
4,11,9650,22400,1595,1366
4,11,9700,22400,1661,1331
4,11,9650,22450,1911,1624
4,11,9700,22450,1537,1412
4,11,9600,22450,1456,1336
4,11,9600,22500,1713,1556
4,11,9550,22500,1522,1440
4,11,9650,22500,1608,1439
4,11,9550,22550,1592,1535
4,11,9500,22550,1719,1446
4,11,9600,22550,1584,1393
4,11,9550,22600,1363,1354
4,11,9500,22600,1455,1231
4,11,9400,22600,1443,1207
4,11,9500,22650,1409,1364
4,11,9400,22650,1402,1217
4,11,9450,22650,1373,1201
4,11,9400,22700,1442,1283
4,11,9450,22700,1258,1243
4,11,9350,22700,1370,1223
4,11,9350,22750,1260,1219
4,11,9400,22750,1185,1159
4,11,9450,22750,1144,963
4,11,9350,22800,1279,1193
4,11,9300,22800,1203,1144
4,11,9400,22800,1192,1113
4,11,9300,22850,1268,1085
4,11,9350,22850,1223,1047
4,11,9250,22850,1165,1025
4,11,9200,22900,1236,1105
4,11,9250,22900,1174,1015
4,11,9300,22900,1132,929
4,11,9200,22950,1322,1276
4,11,9150,22950,1352,1253
4,11,9250,22950,1112,1069
4,11,9150,23000,1393,1364
4,11,9100,23000,1346,1211
4,11,9050,23000,1247,1098
4,11,9050,23050,1403,1369
4,11,9100,23050,1376,1326
4,11,9150,23050,1276,1222
4,11,9000,23100,1361,1189
4,11,8950,23100,1162,1054
4,11,9050,23100,1231,1020
4,11,8900,23150,1374,1334
4,11,9000,23150,1258,1170
4,11,8950,23150,1265,1106
4,11,8900,23200,1275,1140
4,11,8850,23200,1114,1004
4,11,8950,23200,1000,891
4,11,8900,23250,995,975
4,11,8800,23250,925,854
4,11,8850,23250,863,809
